Date,Open,High,Low,Close
2021-12-03,2195,2206.4,2123.9,2137.6
3/15/2021 15:30:00,2140.05,2148.9,2080.5,2108.9
3/16/2021 15:30:00,2114,2126,2095.5,2100.6
3/17/2021 15:30:00,2098.05,2103,2035.1,2055.35
3/18/2021 15:30:00,2072.9,2084.8,2001,2009.1
3/19/2021 15:30:00,1991,2095.85,1982.8,2082
3/22/2021 15:30:00,2071,2074,2033.2,2062.4
3/23/2021 15:30:00,2061.95,2109.7,2056,2087.5
3/24/2021 15:30:00,2079.75,2079.75,2040.4,2047.3
3/25/2021 15:30:00,2054,2054,1985,1991.45
3/26/2021 15:30:00,2012,2013.7,1973.7,1994.65
3/30/2021 15:30:00,2008,2048.9,1991.55,2029.3
3/31/2021 15:30:00,2018,2049.9,1999,2003.1
2021-01-04,2018,2030,2003.15,2021.85
2021-05-04,2024.95,2025,1962.1,1992.6
2021-06-04,2004,2004.95,1969,1984.3
2021-07-04,2000,2046.9,1993.3,2002.85
2021-08-04,2011,2022,1993,2005.35
2021-09-04,1998.45,2006.35,1980,1982.05
2021-12-04,1959,1961.4,1900.25,1911.15
4/13/2021 15:30:00,1924,1940.6,1917.85,1931.8
4/15/2021 15:30:00,1926.3,1961,1913,1944.3
4/16/2021 15:30:00,1936.6,1949.9,1926.45,1932.1
4/19/2021 15:30:00,1904,1916.4,1890,1901.7
4/20/2021 15:30:00,1910.5,1919,1890.45,1901.15
4/22/2021 15:30:00,1892.25,1914.45,1876.7,1906.4
4/23/2021 15:30:00,1906,1918.9,1895.35,1904.35
4/26/2021 15:30:00,1920,1962,1911.5,1937.85
4/27/2021 15:30:00,1940,1997.2,1938.25,1988.65
4/28/2021 15:30:00,1997.85,2008,1980.15,1997.3
4/29/2021 15:30:00,2022.9,2044.5,2007.3,2024.05
4/30/2021 15:30:00,2008.5,2036,1987.55,1994.5
2021-03-05,1966,1979,1943.1,1959.05
2021-04-05,1950,1967.8,1911,1916.6
2021-05-05,1923.35,1938.5,1908.05,1920.1
2021-06-05,1921.85,1935,1906.6,1931
2021-07-05,1937.75,1955.65,1926,1931.75
2021-10-05,1939,1946.8,1920.95,1926.2
2021-11-05,1915,1938.55,1910,1933.15
2021-12-05,1930.1,1932.9,1907,1913.15
5/14/2021 15:30:00,1928.05,1942,1906,1937.3
5/17/2021 15:30:00,1937.3,1963.45,1930.4,1960.35
5/18/2021 15:30:00,1981,2002.6,1972.5,1987.95
5/19/2021 15:30:00,1980,2016.45,1972,1997.05
5/20/2021 15:30:00,1997.9,2010.9,1981,1985.4
5/21/2021 15:30:00,1992,2009.6,1986,2002.55
5/24/2021 15:30:00,2008,2009.8,1982,1985.65
5/25/2021 15:30:00,1996.4,1997,1960,1963.15
5/26/2021 15:30:00,1975,1979.5,1965.3,1970.05
5/27/2021 15:30:00,1970.3,1993,1962.25,1976.1
5/28/2021 15:30:00,1990,2105,1990,2094.8
5/31/2021 15:30:00,2102,2191.7,2085.05,2160.3
2021-01-06,2166,2202,2146.5,2168.9
2021-02-06,2157,2209.5,2157,2201.25
2021-03-06,2221,2250,2196.1,2209.65
2021-04-06,2214.8,2216.45,2184.25,2190.5
2021-07-06,2202,2242,2185,2227.4
2021-08-06,2226.6,2227.15,2198.15,2214.6
2021-09-06,2219,2221,2157.95,2175
2021-10-06,2193.4,2230,2177.55,2183
2021-11-06,2182.9,2228,2180.1,2213.15
6/14/2021 15:30:00,2215,2258.25,2195.05,2244.9
6/15/2021 15:30:00,2261,2274.9,2240.3,2250
6/16/2021 15:30:00,2244.9,2247.05,2205.85,2211.6
6/17/2021 15:30:00,2200,2235,2179.9,2215.65
6/18/2021 15:30:00,2225.5,2235,2184.35,2225.65
6/21/2021 15:30:00,2203.5,2247.5,2200.15,2237.25
6/22/2021 15:30:00,2254,2261,2219.35,2225.75
6/23/2021 15:30:00,2250,2250.6,2201.7,2205.35
6/24/2021 15:30:00,2206.85,2214.6,2140,2153.5
6/25/2021 15:30:00,2153.5,2153.5,2081.1,2104.45
6/28/2021 15:30:00,2122,2126.5,2081,2086
6/29/2021 15:30:00,2089.5,2109,2084.1,2087.8
6/30/2021 15:30:00,2096.25,2122.65,2091.05,2110.65
2021-01-07,2118,2123.15,2095,2097.95
2021-02-07,2097,2132.9,2092.95,2129.05
2021-05-07,2136.45,2153.55,2131.5,2150.2
2021-06-07,2144.95,2148.9,2120.2,2124.8
2021-07-07,2127.75,2127.75,2098,2110.05
2021-08-07,2116.95,2116.95,2081,2092.6
2021-09-07,2088,2091.7,2066.1,2071.2
2021-12-07,2079.75,2101.5,2074.5,2084.1
7/13/2021 15:30:00,2100,2103.05,2088.05,2099.7
7/14/2021 15:30:00,2100.35,2106.85,2081.25,2086
7/15/2021 15:30:00,2095,2095,2078.5,2082.35
7/16/2021 15:30:00,2087.75,2114.75,2087.6,2112.4
7/19/2021 15:30:00,2100,2124,2092.25,2098.95
7/20/2021 15:30:00,2099.5,2108,2084,2093.8
7/22/2021 15:30:00,2119,2123.9,2098.15,2120.7
7/23/2021 15:30:00,2134.45,2134.45,2102.05,2105.7
7/26/2021 15:30:00,2108,2121,2071.1,2076.85
7/27/2021 15:30:00,2076.8,2083.7,2042,2055
7/28/2021 15:30:00,2058,2058,2016.25,2037.35
7/29/2021 15:30:00,2054,2074.4,2043.4,2053.25
7/30/2021 15:30:00,2058,2067.95,2031.1,2035.3
